COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,HDS,WLHS,ARI,DPI,TRI
Togo,19.8,55.1,0.513,893.3524541,338000,191000,243,26442,8278.724,0.918992512,3.193970472,Developing,Extreme Low,40.82754782,23.07118827,31.94936804
Trinidad and Tobago,36,3.7,0.799,16637.16294,492000,0,2486,82563,1399.488,3.011033998,58.9951468,Developing,Moderate,351.5571409,578.4580615,465.0076012
Tunisia,31.6,15.2,0.739,3351.573443,5724000,1830000,25445,720143,11818.619,3.53332602,60.93292287,Developing,Low,484.3205454,154.8404259,319.5804857
Turkey,30.9,14.4,0.806,9126.594392,30907000,7892000,79696,9100324,84339.067,0.875749039,107.9016442,Developed,Moderate,366.461251,93.5746657,230.0179583
Turk and Caicos Islands,31,18,0.873,23879,0,0,25,3151,38718,0.793398921,0.081383336,Developed,Moderate,1843.111899,578.4580615,1210.78498
United Arab Emirates,30.3,19.5,0.866,43103.33629,18967000,0,2151,743152,9890.402,0.289442806,75.13870518,Developed,Moderate High,1917.717804,935.7345437,1426.726174
Uganda,15.8,21.4,0.528,794.4514454,1323000,568000,3269,128212,45741.007,2.549683337,2.802999068,Developing,Extreme Low,28.92371827,12.41774148,20.67072988
United Kingdom,40.5,18.6,0.92,42354.41465,39129000,81757000,146791,11010286,67886.011,1.333216957,162.1878475,Developed,Moderate High,576.3926827,1204.327649,890.3601657
Ukraine,40.6,1.1,0.75,3662.563087,13734000,25226000,91958,3578557,43733.762,2.569694992,81.82595863,Developing,Low,314.036556,576.8083706,445.4224633
Uruguay,35,8.8,0.808,17688.01501,3632000,1715000,6147,403293,3473.73,1.524202007,116.0979696,Developed,Moderate,1045.561975,493.7056133,769.6337942
United States,38.1,17.8,0.92,65279.52903,175261484.4,141526000,823390,51290979,331002.651,1.605331027,154.9563994,Developed,Extreme High,529.4866487,427.5675726,478.5271106
Uzbekistan,28.6,14.1,0.71,1719.05721,2027000,3848000,1445,196303,33469.203,0.736106937,5.865182986,Developing,Extreme Low,60.56313919,114.9713664,87.76725278
Venezuela,28.3,33.1,0.726,16055,0,0,5250,439444,28435.94,1.194691474,15.45382358,Developing,Moderate,1843.111899,578.4580615,1210.78498
Vietnam,30.5,6.7,0.693,2715.27598,10013000,0,28616,1459175,97338.579,1.96110816,14.99071607,Developing,Low,102.8677437,376.6641062,239.765925
Yemen,19.5,48.6,0.463,824,0,0,1973,10081,29825.964,19.57147108,0.337994105,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Zambia,16.8,54.4,0.591,1305.002214,956000,0,3671,212278,18383.955,1.729336059,11.54691686,Developing,Extreme Low,52.00186793,68.48091912,60.24139352
Zimbabwe,20,38.3,0.563,1156.154864,2168000,3192000,4745,177690,14862.924,2.670381001,11.95525187,Developing,Extreme Low,145.8663181,214.7625864,180.3144523
