COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,HDS,WLHS,ARI,DPI,TRI
Colombia,30,35.7,0.761,6424.979492,3675000,3795000,129256,5099746,50882.891,2.534557603,100.2251621,Developing,Moderate,72.22466978,74.58302635,73.40384806
Comoros,19.9,42.4,0.538,1370.140123,26799.99924,0,151,4576,869.601,3.299825175,5.262183461,Developing,Extreme Low,30.81873094,68.48091912,49.64982503
Costa Rica,31.3,21,0.794,12669.70608,3204000,1036000,7336,568373,5094.118,1.290701705,111.5743687,Developing,Moderate,628.9606955,203.3718104,416.1662529
Croatia,43,18.3,0.837,14944.35622,57587000,2581000,11779,662397,4105.267,1.77823873,161.3529644,Developed,Moderate,14027.58944,628.7045398,7328.146988
Cuba,41.5,26,0.778,9099.673146,4009000,894000,8313,963813,11326.616,0.862511711,85.09275851,Developing,Moderate,353.9450794,78.9291347,216.4371071
Cyprus,36.8,14.7,0.873,28288.46158,3286000,1268000,614,142878,1207.359,0.429737258,118.3392843,Developed,Moderate High,2721.642859,1050.226155,1885.934507
Czech Republic,42.1,10.1,0.891,23660.14881,32519000,6027000,34813,2367076,10708.981,1.470717459,221.03653,Developed,Moderate,3036.610113,562.7986454,1799.704379
Denmark,42.2,12.5,0.93,59775.7351,28692000,9651000,3039,579275,5792.202,0.524621294,100.009461,Developed,Extreme High,4953.556523,1666.205702,3309.881113
Djibouti,23.9,21.1,0.495,3414.935393,0,0,189,13526,988,1.397308887,13.6902834,Underdeveloped,Low,461.8031789,376.6641062,419.2336425
Dominica,33.5,39,0.724,8001.997095,356000,0,42,6286,71.986,0.668151448,87.32253494,Developing,Moderate,4945.406051,578.4580615,2761.932056
Dominican Republic,28.1,21,0.745,8282.117131,6769000,500000,4220,410926,10847.91,1.026948891,37.88066088,Developing,Moderate,623.9911651,46.09182783,335.0414965
DR Congo,18.6,63.9,0.459,556.81,0,0,42,61932,89561.403,0.067816315,0.691503236,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Ecuador,27.7,25,0.758,6222.524653,1569000,1366000,33570,534176,17643.054,6.284445576,30.27684436,Developing,Moderate,88.93018182,77.42423732,83.17720957
Egypt,23.9,32.5,0.7,3547.87,0,0,21203,371698,102334.404,5.704362143,3.632190011,Developing,Low,461.8031789,376.6641062,419.2336425
El Salvador,27.1,22.8,0.667,4167.730939,2052000,1804000,3800,121267,6486.205,3.133581271,18.6961405,Developing,Low,316.3637289,278.1287363,297.2462326
Equatorial Guinea,19.8,76.8,0.588,8419.933336,0,0,175,13617,1402.985,1.285158258,9.705734559,Developing,Moderate,1843.111899,578.4580615,1210.78498
Eritrea,19.7,69,0.434,642.51,142000,0,65,7686,3546.421,0.845693469,2.167255382,Underdeveloped,Extreme Low,40.04036746,68.48091912,54.26064329
Estonia,42.7,21.7,0.882,23397.12001,5942000,1339000,1869,229869,1326.535,0.813071793,173.2852884,Developed,Moderate,4479.33903,1009.396661,2744.367846
Eswatini,21.7,58.9,0.608,3894.66963,1279000,1789000,1254,56200,1160.164,2.231316726,48.44142725,Developing,Low,1102.430346,1542.023369,1322.226858
Ethiopia,17.9,23.5,0.47,855.7608852,871000,0,6846,373860,114963.588,1.831166747,3.251986185,Underdeveloped,Extreme Low,7.576311901,68.48091912,38.02861551
Faroe Islands,37.6,10.1,0.95,64225.2649,0,0,13,4477,48.863,0.290373018,91.62351882,Developed,Extreme High,5138.982974,1438.963748,3288.973361
Fiji,28.9,29.9,0.724,6175.874841,963000,156000,697,52604,896.445,1.324994297,58.68067757,Developing,Moderate,1074.243261,174.0207152,624.131988
Finland,42.5,12.2,0.925,48678.31413,2789000,10278000,1446,209258,5540.72,0.691013008,37.76729378,Developed,Extreme High,503.3641837,1854.993575,1179.178879
France,41.4,13.6,0.891,40578.64429,203042000,29636000,120983,8399846,65273.511,1.440300215,128.6869033,Developed,Moderate High,3110.63396,454.0279747,1782.330967
Gabon,18.6,33.4,0.702,7767.016979,0,0,285,37681,2225.734,0.756349354,16.929696,Developing,Moderate,1843.111899,578.4580615,1210.78498
