COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP
Iceland,36.5,8.8,0.938,68941.46223,1891000,536000,36,19861,341.243
India,28.1,21.9,0.647,2100.751461,14570000,21872000,476227,34718669,1380004.385
Indonesia,30.2,9.4,0.707,4135.201531,11519000,8340000,143969,4259644,273523.615
Iran,30.3,55,0.797,2282.55,,,130883,6162954,83992.949
Iraq,20,18.9,0.689,5658.492267,,,24017,2089259,40222.493
Ireland,36.8,13.1,0.942,80886.61574,10100000,7646000,5835,636407,4937.786
Isle of Man,44.2,9.3,0.849,89112.67,,,67,12812,85.033
Israel,29.9,16.9,0.906,43588.71315,3070000,6781000,8227,1352403,8655.535
Italy,45.5,20.1,0.883,33566.7873,84925000,57480000,135178,5282076,60461.826
Ivory Coast,20.9,39.5,0.516,2325.72,,,706,61943,26378.274
Jamaica,26,19.9,0.726,5369.498371,3837000,,2432,91868,2961.167
Japan,47.3,15.7,0.915,40777.6087,24040000,17116000,18375,1729035,126476.461
Jordan,22.5,15.7,0.723,4405.487109,4236000,1511000,12078,1024032,10203.134
Kazakhstan,30.6,4.3,0.817,9812.595808,6509000,9756000,12887,980860,18776.707
Kenya,19.7,36.1,0.579,1816.547124,1340000,,5350,257614,53771.296
Kuwait,29.3,0.1,0.808,32373.25111,7055000,,2466,413847,4270.571
Kyrgyzstan,26.5,20.1,0.674,1173.61,,,2775,184055,6524.195
Laos,23,18.3,0.604,2630.2,,,256,93061,7275.56
Latvia,43.6,22.9,0.854,17794.47862,6797000,1939000,4408,264031,1886.198
Lebanon,30.5,27.4,0.73,7583.699146,1688000,,8886,694256,6825.445
Lesotho,24.2,49.7,0.518,1113.37214,1196000,,665,23478,2142.249
Liberia,17.8,50.9,0.465,621.8929536,,,287,5844,5057.681
Libya,28.9,33.4,0.708,7685.948132,,,5576,379816,6871.292
Liechtenstein,43.2,0.1,0.917,180366.72,69099.99847,,68,5472,38.128
Lithuania,43.7,20.6,0.869,19555.21107,5322000,4143000,7039,495686,2722.289
Luxembourg,39.3,17.5,0.909,114685.1684,1054000,1588000,896,95222,625.978
Madagascar,19.7,70.7,0.521,526.2245722,333000,,980,45794,27691.018
Malawi,16.5,51.5,0.485,583.1102036,849000,,2310,62933,19129.952
Malaysia,28.5,5.6,0.804,11414.20269,26757000,,30989,2703140,32365.999
Maldives,28.2,8.2,0.719,10626.43335,1286000,,259,93532,540.544
Mali,15.8,42.1,0.427,879.1227752,173000,,634,18855,20250.833
Malta,41.8,17.1,0.885,30186.19596,2592000,550000,471,40892,441.543
Mauritania,20.5,31,0.527,1679.442605,,,852,39924,4649.658
Mauritius,35.3,10.3,0.796,11097.58693,1307000,260000,680,22769,1271.768
Mexico,28.3,41.9,0.767,9946.033829,94853000,97372000,297187,3924638,128932.753
Moldova,36.7,7.3,0.711,4494.018403,121000,177000,9434,370951,4033.963
Monaco,53.1,0.1,1.01,190512.7374,336000,,36,4223,39.242
Mongolia,28.3,28.4,0.735,4339.844625,471000,,2039,385973,3278.29
Montenegro,40.7,24.5,0.816,8910.651554,1662000,,2365,160270,628.066
Morocco,29.3,4.8,0.676,3230.409722,10677000,1864000,14798,951984,36910.56
Mozambique,17.2,46.1,0.446,503.5706566,1715000,,1946,155495,31255.435
Myanmar,28.2,24.8,0.584,1477.355368,2907000,,19197,527503,54409.8
Namibia,21.2,17.4,0.645,5037.342629,1551000,,3578,133444,2540.905
Nepal,24.1,25.2,0.579,1194.956876,753000,,11565,825016,29136.808
Netherlands,42.6,13.6,0.933,52476.27325,15828000,18152000,20255,2920438,17134.872
New Caledonia,32,17,0.6,12579,625000,134000,280,12421,285.498
New Zealand,37.9,15,0.921,42755.21626,3494000,2611000,47,13143,4822.233
